gene,kegg_id,alia,copy
CXCR2,hsa:3579,CDw128b,CXCR2 (copy)
CXCR2,hsa:3579,CMKAR2,CXCR2 (copy)
CXCR2,hsa:3579,IL8R2,CXCR2 (copy)
CXCR2,hsa:3579,IL8RA,CXCR2 (copy)
CXCR2,hsa:3579,IL8RB,CXCR2 (copy)
CXCR2,hsa:3579,WHIMS2,CXCR2 (copy)
CXCR2,hsa:3579,C-X-C motif chemokine receptor 2,CXCR2 (copy)
PF4,hsa:5196,CXCL4,PF4 (copy)
PF4,hsa:5196,PF-4,PF4 (copy)
PF4,hsa:5196,SCYB4,PF4 (copy)
PF4,hsa:5196,platelet factor 4,PF4 (copy)
CXCR3,hsa:2833,CD182,CXCR3 (copy)
CXCR3,hsa:2833,CD183,CXCR3 (copy)
CXCR3,hsa:2833,CKR-L2,CXCR3 (copy)
CXCR3,hsa:2833,CMKAR3,CXCR3 (copy)
CXCR3,hsa:2833,GPR9,CXCR3 (copy)
CXCR3,hsa:2833,IP10-R,CXCR3 (copy)
CXCR3,hsa:2833,Mig-R,CXCR3 (copy)
CXCR3,hsa:2833,MigR,CXCR3 (copy)
CXCR3,hsa:2833,C-X-C motif chemokine receptor 3,CXCR3 (copy)
PF4V1,hsa:5197,CXCL4L1,PF4V1 (copy)
PF4V1,hsa:5197,CXCL4V1,PF4V1 (copy)
PF4V1,hsa:5197,PF4-ALT,PF4V1 (copy)
PF4V1,hsa:5197,PF4A,PF4V1 (copy)
PF4V1,hsa:5197,SCYB4V1,PF4V1 (copy)
PF4V1,hsa:5197,platelet factor 4 variant 1,PF4V1 (copy)
CXCL9,hsa:4283,CMK,CXCL9 (copy)
CXCL9,hsa:4283,Humig,CXCL9 (copy)
CXCL9,hsa:4283,MIG,CXCL9 (copy)
CXCL9,hsa:4283,SCYB9,CXCL9 (copy)
CXCL9,hsa:4283,crg-10,CXCL9 (copy)
CXCL9,hsa:4283,C-X-C motif chemokine ligand 9,CXCL9 (copy)
CXCL10,hsa:3627,C7,CXCL10 (copy)
CXCL10,hsa:3627,IFI10,CXCL10 (copy)
CXCL10,hsa:3627,INP10,CXCL10 (copy)
CXCL10,hsa:3627,IP-10,CXCL10 (copy)
CXCL10,hsa:3627,SCYB10,CXCL10 (copy)
CXCL10,hsa:3627,crg-2,CXCL10 (copy)
CXCL10,hsa:3627,gIP-10,CXCL10 (copy)
CXCL10,hsa:3627,mob-1,CXCL10 (copy)
CXCL10,hsa:3627,C-X-C motif chemokine ligand 10,CXCL10 (copy)
CXCL11,hsa:6373,H174,CXCL11 (copy)
CXCL11,hsa:6373,I-TAC,CXCL11 (copy)
CXCL11,hsa:6373,IP-9,CXCL11 (copy)
CXCL11,hsa:6373,IP9,CXCL11 (copy)
CXCL11,hsa:6373,SCYB11,CXCL11 (copy)
CXCL11,hsa:6373,SCYB9B,CXCL11 (copy)
CXCL11,hsa:6373,b-R1,CXCL11 (copy)
CXCL11,hsa:6373,C-X-C motif chemokine ligand 11,CXCL11 (copy)
CXCL13,hsa:10563,ANGIE,CXCL13 (copy)
CXCL13,hsa:10563,ANGIE2,CXCL13 (copy)
CXCL13,hsa:10563,BCA-1,CXCL13 (copy)
CXCL13,hsa:10563,BCA1,CXCL13 (copy)
CXCL13,hsa:10563,BLC,CXCL13 (copy)
CXCL13,hsa:10563,BLR1L,CXCL13 (copy)
CXCL13,hsa:10563,SCYB13,CXCL13 (copy)
CXCL13,hsa:10563,C-X-C motif chemokine ligand 13,CXCL13 (copy)
CXCL12,hsa:6387,IRH,CXCL12 (copy)
CXCL12,hsa:6387,PBSF,CXCL12 (copy)
CXCL12,hsa:6387,SCYB12,CXCL12 (copy)
CXCL12,hsa:6387,SDF1,CXCL12 (copy)
CXCL12,hsa:6387,TLSF,CXCL12 (copy)
CXCL12,hsa:6387,TPAR1,CXCL12 (copy)
CXCL12,hsa:6387,SDF1A,CXCL12 (copy)
CXCL12,hsa:6387,SDF1B,CXCL12 (copy)
CXCL12,hsa:6387,C-X-C motif chemokine ligand 12,CXCL12 (copy)
CXCL16,hsa:58191,CXCLG16,CXCL16 (copy)
CXCL16,hsa:58191,SR-PSOX,CXCL16 (copy)
CXCL16,hsa:58191,SRPSOX,CXCL16 (copy)
CXCL16,hsa:58191,C-X-C motif chemokine ligand 16,CXCL16 (copy)
CXCR6,hsa:10663,BONZO,CXCR6 (copy)
CXCR6,hsa:10663,CD186,CXCR6 (copy)
CXCR6,hsa:10663,CDw186,CXCR6 (copy)
CXCR6,hsa:10663,STRL33,CXCR6 (copy)
CXCR6,hsa:10663,TYMSTR,CXCR6 (copy)
CXCR6,hsa:10663,C-X-C motif chemokine receptor 6,CXCR6 (copy)
XCL1,hsa:6375,ATAC,XCL1 (copy)
XCL1,hsa:6375,LPTN,XCL1 (copy)
XCL1,hsa:6375,LTN,XCL1 (copy)
XCL1,hsa:6375,SCM-1,XCL1 (copy)
XCL1,hsa:6375,SCM-1a,XCL1 (copy)
XCL1,hsa:6375,SCM1,XCL1 (copy)
XCL1,hsa:6375,SCM1A,XCL1 (copy)
XCL1,hsa:6375,SCYC1,XCL1 (copy)
XCL1,hsa:6375,X-C motif chemokine ligand 1,XCL1 (copy)
XCR1,hsa:2829,CCXCR1,XCR1 (copy)
XCR1,hsa:2829,GPR5,XCR1 (copy)
XCR1,hsa:2829,X-C motif chemokine receptor 1,XCR1 (copy)
XCL2,hsa:6846,SCM-1b,XCL2 (copy)
XCL2,hsa:6846,SCM1B,XCL2 (copy)
XCL2,hsa:6846,SCYC2,XCL2 (copy)
XCL2,hsa:6846,X-C motif chemokine ligand 2,XCL2 (copy)
CX3CL1,hsa:6376,ABCD-3,CX3CL1 (copy)
CX3CL1,hsa:6376,C3Xkine,CX3CL1 (copy)
CX3CL1,hsa:6376,CXC3,CX3CL1 (copy)
CX3CL1,hsa:6376,CXC3C,CX3CL1 (copy)
CX3CL1,hsa:6376,NTN,CX3CL1 (copy)
CX3CL1,hsa:6376,NTT,CX3CL1 (copy)
CX3CL1,hsa:6376,SCYD1,CX3CL1 (copy)
CX3CL1,hsa:6376,fractalkine,CX3CL1 (copy)
CX3CL1,hsa:6376,neurotactin,CX3CL1 (copy)
CX3CL1,hsa:6376,C-X3-C motif chemokine ligand 1,CX3CL1 (copy)
CX3CR1,hsa:1524,CCRL1,CX3CR1 (copy)
CX3CR1,hsa:1524,CMKBRL1,CX3CR1 (copy)
CX3CR1,hsa:1524,CMKDR1,CX3CR1 (copy)
CX3CR1,hsa:1524,GPR13,CX3CR1 (copy)
CX3CR1,hsa:1524,GPRV28,CX3CR1 (copy)
CX3CR1,hsa:1524,V28,CX3CR1 (copy)
CX3CR1,hsa:1524,C-X3-C motif chemokine receptor 1,CX3CR1 (copy)
IL4,hsa:3565,BCGF-1,IL4 (copy)
IL4,hsa:3565,BCGF1,IL4 (copy)
IL4,hsa:3565,BSF-1,IL4 (copy)
IL4,hsa:3565,BSF1,IL4 (copy)
IL4,hsa:3565,IL-4,IL4 (copy)
IL4,hsa:3565,interleukin 4,IL4 (copy)
IL4R,hsa:3566,CD124,IL4R (copy)
IL4R,hsa:3566,IL-4RA,IL4R (copy)
IL4R,hsa:3566,IL4RA,IL4R (copy)
IL4R,hsa:3566,interleukin 4 receptor,IL4R (copy)
IL13,hsa:3596,IL-13,IL13 (copy)
IL13,hsa:3596,P600,IL13 (copy)
IL13,hsa:3596,interleukin 13,IL13 (copy)
IL13RA1,hsa:3597,CD213A1,IL13RA1 (copy)
IL13RA1,hsa:3597,CT19,IL13RA1 (copy)
IL13RA1,hsa:3597,IL-13Ra,IL13RA1 (copy)
IL13RA1,hsa:3597,NR4,IL13RA1 (copy)
IL13RA1,hsa:3597,interleukin 13 receptor subunit alpha 1,IL13RA1 (copy)
EPO,hsa:2056,DBAL,EPO (copy)
EPO,hsa:2056,ECYT5,EPO (copy)
EPO,hsa:2056,EP,EPO (copy)
EPO,hsa:2056,MVCD2,EPO (copy)
EPO,hsa:2056,erythropoietin,EPO (copy)
EPOR,hsa:2057,EPO-R,EPOR (copy)
EPOR,hsa:2057,erythropoietin receptor,EPOR (copy)
CSH1,hsa:1442,CS-1,CSH1 (copy)
CSH1,hsa:1442,CSA,CSH1 (copy)
CSH1,hsa:1442,CSMT,CSH1 (copy)
CSH1,hsa:1442,GHB3,CSH1 (copy)
CSH1,hsa:1442,PL,CSH1 (copy)
CSH1,hsa:1442,hCS-1,CSH1 (copy)
CSH1,hsa:1442,hCS-A,CSH1 (copy)
CSH1,hsa:1442,chorionic somatomammotropin hormone 1,CSH1 (copy)
GHR,hsa:2690,GHBP,GHR (copy)
GHR,hsa:2690,GHIP,GHR (copy)
GHR,hsa:2690,growth hormone receptor,GHR (copy)
CSH2,hsa:1443,CS-2,CSH2 (copy)
CSH2,hsa:1443,CSB,CSH2 (copy)
CSH2,hsa:1443,GHB1,CSH2 (copy)
CSH2,hsa:1443,PL,CSH2 (copy)
CSH2,hsa:1443,hCS-B,CSH2 (copy)
CSH2,hsa:1443,chorionic somatomammotropin hormone 2,CSH2 (copy)
GH1,hsa:2688,GH,GH1 (copy)
GH1,hsa:2688,GH-N,GH1 (copy)
GH1,hsa:2688,GHB5,GH1 (copy)
GH1,hsa:2688,GHN,GH1 (copy)
GH1,hsa:2688,IGHD1A,GH1 (copy)
GH1,hsa:2688,IGHD1B,GH1 (copy)
GH1,hsa:2688,IGHD2,GH1 (copy)
GH1,hsa:2688,hGH-N,GH1 (copy)
GH1,hsa:2688,growth hormone 1,GH1 (copy)
GH2,hsa:2689,GH-V,GH2 (copy)
GH2,hsa:2689,GHB2,GH2 (copy)
GH2,hsa:2689,GHL,GH2 (copy)
GH2,hsa:2689,GHV,GH2 (copy)
GH2,hsa:2689,hGH-V,GH2 (copy)
GH2,hsa:2689,growth hormone 2,GH2 (copy)
PRL,hsa:5617,GHA1,PRL (copy)
PRL,hsa:5617,prolactin,PRL (copy)
PRLR,hsa:5618,HPRL,PRLR (copy)
PRLR,hsa:5618,MFAB,PRLR (copy)
PRLR,hsa:5618,RI-PRLR,PRLR (copy)
PRLR,hsa:5618,hPRLrI,PRLR (copy)
PRLR,hsa:5618,prolactin receptor,PRLR (copy)
THPO,hsa:7066,MGDF,THPO (copy)
THPO,hsa:7066,MKCSF,THPO (copy)
THPO,hsa:7066,ML,THPO (copy)
THPO,hsa:7066,MPLLG,THPO (copy)
THPO,hsa:7066,THCYT1,THPO (copy)
THPO,hsa:7066,TPO,THPO (copy)
THPO,hsa:7066,thrombopoietin,THPO (copy)
MPL,hsa:4352,C-MPL,MPL (copy)
MPL,hsa:4352,CD110,MPL (copy)
MPL,hsa:4352,MPLV,MPL (copy)
MPL,hsa:4352,THCYT2,MPL (copy)
MPL,hsa:4352,THPOR,MPL (copy)
MPL,hsa:4352,TPOR,MPL (copy)
MPL,hsa:4352,MPL proto-oncogene,MPL (copy)
MPL,hsa:4352,thrombopoietin receptor,MPL (copy)
CSF3,hsa:1440,C17orf33,CSF3 (copy)
CSF3,hsa:1440,CSF3OS,CSF3 (copy)
CSF3,hsa:1440,GCSF,CSF3 (copy)
CSF3,hsa:1440,G-CSF,CSF3 (copy)
CSF3,hsa:1440,colony stimulating factor 3,CSF3 (copy)
CSF3R,hsa:1441,CD114,CSF3R (copy)
CSF3R,hsa:1441,GCSFR,CSF3R (copy)
CSF3R,hsa:1441,SCN7,CSF3R (copy)
CSF3R,hsa:1441,colony stimulating factor 3 receptor,CSF3R (copy)
LEP,hsa:3952,LEPD,LEP (copy)
LEP,hsa:3952,OB,LEP (copy)
LEP,hsa:3952,OBS,LEP (copy)
LEP,hsa:3952,leptin,LEP (copy)
LEPR,hsa:3953,CD295,LEPR (copy)
LEPR,hsa:3953,LEP-R,LEPR (copy)
LEPR,hsa:3953,LEPRD,LEPR (copy)
LEPR,hsa:3953,OB-R,LEPR (copy)
LEPR,hsa:3953,OBR,LEPR (copy)
LEPR,hsa:3953,leptin receptor,LEPR (copy)
IL1RN,hsa:3557,DIRA,IL1RN (copy)
IL1RN,hsa:3557,ICIL-1RA,IL1RN (copy)
IL1RN,hsa:3557,IL-1RN,IL1RN (copy)
IL1RN,hsa:3557,IL-1ra,IL1RN (copy)
IL1RN,hsa:3557,IL-1ra3,IL1RN (copy)
IL1RN,hsa:3557,IL1F3,IL1RN (copy)
IL1RN,hsa:3557,IL1RA,IL1RN (copy)
IL1RN,hsa:3557,IRAP,IL1RN (copy)
IL1RN,hsa:3557,MVCD4,IL1RN (copy)
IL1RN,hsa:3557,interleukin 1 receptor antagonist,IL1RN (copy)
IL1R2,hsa:7850,CD121b,IL1R2 (copy)
IL1R2,hsa:7850,CDw121b,IL1R2 (copy)
IL1R2,hsa:7850,IL-1R-2,IL1R2 (copy)
IL1R2,hsa:7850,IL-1RT-2,IL1R2 (copy)
IL1R2,hsa:7850,IL-1RT2,IL1R2 (copy)
IL1R2,hsa:7850,IL1R2c,IL1R2 (copy)
IL1R2,hsa:7850,IL1RB,IL1R2 (copy)
IL1R2,hsa:7850,interleukin 1 receptor type 2,IL1R2 (copy)
IL17B,hsa:27190,IL-17B,IL17B (copy)
IL17B,hsa:27190,IL-20,IL17B (copy)
IL17B,hsa:27190,NIRF,IL17B (copy)
IL17B,hsa:27190,ZCYTO7,IL17B (copy)
IL17B,hsa:27190,interleukin 17B,IL17B (copy)
IL17RB,hsa:55540,CRL4,IL17RB (copy)
IL17RB,hsa:55540,EVI27,IL17RB (copy)
IL17RB,hsa:55540,IL17BR,IL17RB (copy)
IL17RB,hsa:55540,IL17RH1,IL17RB (copy)
IL17RB,hsa:55540,interleukin 17 receptor B,IL17RB (copy)
IL17C,hsa:27189,CX2,IL17C (copy)
IL17C,hsa:27189,IL-17C,IL17C (copy)
IL17C,hsa:27189,interleukin 17C,IL17C (copy)
IL16,hsa:3603,LCF,IL16 (copy)
IL16,hsa:3603,NIL16,IL16 (copy)
IL16,hsa:3603,PRIL16,IL16 (copy)
IL16,hsa:3603,prIL-16,IL16 (copy)
IL16,hsa:3603,interleukin 16,IL16 (copy)
CD4,hsa:920,CD4mut,CD4 (copy)
CD4,hsa:920,IMD79,CD4 (copy)
CD4,hsa:920,OKT4D,CD4 (copy)
CD4,hsa:920,CD4 molecule,CD4 (copy)
IL34,hsa:146433,C16orf77,IL34 (copy)
IL34,hsa:146433,IL-34,IL34 (copy)
IL34,hsa:146433,interleukin 34,IL34 (copy)
LTA,hsa:4049,LT,LTA (copy)
LTA,hsa:4049,TNFB,LTA (copy)
LTA,hsa:4049,TNFSF1,LTA (copy)
LTA,hsa:4049,TNLG1E,LTA (copy)
LTA,hsa:4049,lymphotoxin alpha,LTA (copy)
TNFRSF1A,hsa:7132,CD120a,TNFRSF1A (copy)
TNFRSF1A,hsa:7132,FPF,TNFRSF1A (copy)
TNFRSF1A,hsa:7132,TBP1,TNFRSF1A (copy)
TNFRSF1A,hsa:7132,TNF-R,TNFRSF1A (copy)
TNFRSF1A,hsa:7132,TNF-R-I,TNFRSF1A (copy)
TNFRSF1A,hsa:7132,TNF-R55,TNFRSF1A (copy)
TNFRSF1A,hsa:7132,TNFAR,TNFRSF1A (copy)
TNFRSF1A,hsa:7132,TNFR1,TNFRSF1A (copy)
TNFRSF1A,hsa:7132,TNFR55,TNFRSF1A (copy)
TNFRSF1A,hsa:7132,TNFR60,TNFRSF1A (copy)
TNFRSF1A,hsa:7132,p55,TNFRSF1A (copy)
TNFRSF1A,hsa:7132,p55-R,TNFRSF1A (copy)
TNFRSF1A,hsa:7132,p60,TNFRSF1A (copy)
TNFRSF1A,hsa:7132,TNF receptor superfamily member 1A,TNFRSF1A (copy)
LTB,hsa:4050,TNFC,LTB (copy)
LTB,hsa:4050,TNFSF3,LTB (copy)
LTB,hsa:4050,TNLG1C,LTB (copy)
LTB,hsa:4050,p33,LTB (copy)
LTB,hsa:4050,lymphotoxin beta,LTB (copy)
LTBR,hsa:4055,D12S370,LTBR (copy)
LTBR,hsa:4055,LT-BETA-R,LTBR (copy)
LTBR,hsa:4055,TNF-R-III,LTBR (copy)
LTBR,hsa:4055,TNFCR,LTBR (copy)
LTBR,hsa:4055,TNFR-RP,LTBR (copy)
LTBR,hsa:4055,TNFR2-RP,LTBR (copy)
LTBR,hsa:4055,TNFR3,LTBR (copy)
LTBR,hsa:4055,TNFRSF3,LTBR (copy)
LTBR,hsa:4055,lymphotoxin beta receptor,LTBR (copy)
TNFSF14,hsa:8740,CD258,TNFSF14 (copy)
TNFSF14,hsa:8740,HVEML,TNFSF14 (copy)
TNFSF14,hsa:8740,LIGHT,TNFSF14 (copy)
TNFSF14,hsa:8740,LTg,TNFSF14 (copy)
TNFSF14,hsa:8740,TNF superfamily member 14,TNFSF14 (copy)
TNFSF15,hsa:9966,TL1,TNFSF15 (copy)
TNFSF15,hsa:9966,TL1A,TNFSF15 (copy)
TNFSF15,hsa:9966,TNLG1B,TNFSF15 (copy)
TNFSF15,hsa:9966,VEGI,TNFSF15 (copy)
TNFSF15,hsa:9966,VEGI192A,TNFSF15 (copy)
TNFSF15,hsa:9966,TNF superfamily member 15,TNFSF15 (copy)
TNFRSF6B,hsa:8771,DCR3,TNFRSF6B (copy)
TNFRSF6B,hsa:8771,DJ583P15.1.1,TNFRSF6B (copy)
TNFRSF6B,hsa:8771,M68,TNFRSF6B (copy)
TNFRSF6B,hsa:8771,M68E,TNFRSF6B (copy)
TNFRSF6B,hsa:8771,TR6,TNFRSF6B (copy)
TNFRSF6B,hsa:8771,TNF receptor superfamily member 6b,TNFRSF6B (copy)
TNFSF10,hsa:8743,APO2L,TNFSF10 (copy)
TNFSF10,hsa:8743,Apo-2L,TNFSF10 (copy)
TNFSF10,hsa:8743,CD253,TNFSF10 (copy)
TNFSF10,hsa:8743,TL2,TNFSF10 (copy)
TNFSF10,hsa:8743,TNLG6A,TNFSF10 (copy)
TNFSF10,hsa:8743,TRAIL,TNFSF10 (copy)
TNFSF10,hsa:8743,TNF superfamily member 10,TNFSF10 (copy)
TNFRSF10B,hsa:8795,CD262,TNFRSF10B (copy)
TNFRSF10B,hsa:8795,DR5,TNFRSF10B (copy)
TNFRSF10B,hsa:8795,KILLER,TNFRSF10B (copy)
TNFRSF10B,hsa:8795,KILLER/DR5,TNFRSF10B (copy)
TNFRSF10B,hsa:8795,TRAIL-R2,TNFRSF10B (copy)
TNFRSF10B,hsa:8795,TRAILR2,TNFRSF10B (copy)
TNFRSF10B,hsa:8795,TRICK2,TNFRSF10B (copy)
TNFRSF10B,hsa:8795,TRICK2A,TNFRSF10B (copy)
TNFRSF10B,hsa:8795,TRICK2B,TNFRSF10B (copy)
TNFRSF10B,hsa:8795,TRICKB,TNFRSF10B (copy)
TNFRSF10B,hsa:8795,ZTNFR9,TNFRSF10B (copy)
TNFRSF10B,hsa:8795,TNF receptor superfamily member 10b,TNFRSF10B (copy)
EDA,hsa:1896,ECTD1,EDA (copy)
EDA,hsa:1896,ED1,EDA (copy)
EDA,hsa:1896,ED1-A1,EDA (copy)
EDA,hsa:1896,ED1-A2,EDA (copy)
EDA,hsa:1896,EDA-A1,EDA (copy)
EDA,hsa:1896,EDA-A2,EDA (copy)
EDA,hsa:1896,EDA1,EDA (copy)
EDA,hsa:1896,EDA2,EDA (copy)
EDA,hsa:1896,HED,EDA (copy)
EDA,hsa:1896,HED1,EDA (copy)
EDA,hsa:1896,ODT1,EDA (copy)
EDA,hsa:1896,STHAGX1,EDA (copy)
EDA,hsa:1896,TNLG7C,EDA (copy)
EDA,hsa:1896,XHED,EDA (copy)
EDA,hsa:1896,XLHED,EDA (copy)
EDA,hsa:1896,ectodysplasin A,EDA (copy)
EDAR,hsa:10913,DL,EDAR (copy)
EDAR,hsa:10913,ECTD10A,EDAR (copy)
EDAR,hsa:10913,ECTD10B,EDAR (copy)
EDAR,hsa:10913,ED1R,EDAR (copy)
EDAR,hsa:10913,ED3,EDAR (copy)
EDAR,hsa:10913,ED5,EDAR (copy)
EDAR,hsa:10913,EDA-A1R,EDAR (copy)
EDAR,hsa:10913,EDA1R,EDAR (copy)
EDAR,hsa:10913,EDA3,EDAR (copy)
EDAR,hsa:10913,HRM1,EDAR (copy)
EDAR,hsa:10913,ectodysplasin A receptor,EDAR (copy)
TNFSF11,hsa:8600,CD254,TNFSF11 (copy)
TNFSF11,hsa:8600,ODF,TNFSF11 (copy)
TNFSF11,hsa:8600,OPGL,TNFSF11 (copy)
TNFSF11,hsa:8600,OPTB2,TNFSF11 (copy)
TNFSF11,hsa:8600,RANKL,TNFSF11 (copy)
TNFSF11,hsa:8600,TNLG6B,TNFSF11 (copy)
TNFSF11,hsa:8600,TRANCE,TNFSF11 (copy)
TNFSF11,hsa:8600,hRANKL2,TNFSF11 (copy)
TNFSF11,hsa:8600,sOdf,TNFSF11 (copy)
TNFSF11,hsa:8600,TNF superfamily member 11,TNFSF11 (copy)
TNFRSF11B,hsa:4982,OCIF,TNFRSF11B (copy)
TNFRSF11B,hsa:4982,OPG,TNFRSF11B (copy)
TNFRSF11B,hsa:4982,PDB5,TNFRSF11B (copy)
TNFRSF11B,hsa:4982,TR1,TNFRSF11B (copy)
TNFRSF11B,hsa:4982,TNF receptor superfamily member 11b,TNFRSF11B (copy)
TNFSF12,hsa:8742,APO3L,TNFSF12 (copy)
TNFSF12,hsa:8742,DR3LG,TNFSF12 (copy)
TNFSF12,hsa:8742,TNLG4A,TNFSF12 (copy)
TNFSF12,hsa:8742,TWEAK,TNFSF12 (copy)
TNFSF12,hsa:8742,TNF superfamily member 12,TNFSF12 (copy)
TNFRSF12A,hsa:51330,CD266,TNFRSF12A (copy)
TNFRSF12A,hsa:51330,FN14,TNFRSF12A (copy)
TNFRSF12A,hsa:51330,TWEAKR,TNFRSF12A (copy)
TNFRSF12A,hsa:51330,TNF receptor superfamily member 12A,TNFRSF12A (copy)
CD70,hsa:970,CD27-L,CD70 (copy)
CD70,hsa:970,CD27L,CD70 (copy)
CD70,hsa:970,CD27LG,CD70 (copy)
CD70,hsa:970,LPFS3,CD70 (copy)
CD70,hsa:970,TNFSF7,CD70 (copy)
CD70,hsa:970,TNLG8A,CD70 (copy)
CD70,hsa:970,CD70 molecule,CD70 (copy)
CD27,hsa:939,S152,CD27 (copy)
CD27,hsa:939,S152._LPFS2,CD27 (copy)
CD27,hsa:939,T14,CD27 (copy)
CD27,hsa:939,TNFRSF7,CD27 (copy)
CD27,hsa:939,Tp55,CD27 (copy)
CD27,hsa:939,CD27 molecule,CD27 (copy)
TNFSF8,hsa:944,CD153,TNFSF8 (copy)
TNFSF8,hsa:944,CD30L,TNFSF8 (copy)
TNFSF8,hsa:944,CD30LG,TNFSF8 (copy)
TNFSF8,hsa:944,TNLG3A,TNFSF8 (copy)
TNFSF8,hsa:944,TNF superfamily member 8,TNFSF8 (copy)
TNFRSF8,hsa:943,CD30,TNFRSF8 (copy)
TNFRSF8,hsa:943,D1S166E,TNFRSF8 (copy)
TNFRSF8,hsa:943,Ki-1,TNFRSF8 (copy)
TNFRSF8,hsa:943,TNF receptor superfamily member 8,TNFRSF8 (copy)
CD40LG,hsa:959,CD154,CD40LG (copy)
CD40LG,hsa:959,CD40L,CD40LG (copy)
CD40LG,hsa:959,HIGM1,CD40LG (copy)
CD40LG,hsa:959,IGM,CD40LG (copy)
CD40LG,hsa:959,IMD3,CD40LG (copy)
CD40LG,hsa:959,T-BAM,CD40LG (copy)
CD40LG,hsa:959,TNFSF5,CD40LG (copy)
CD40LG,hsa:959,TRAP,CD40LG (copy)
CD40LG,hsa:959,gp39,CD40LG (copy)
CD40LG,hsa:959,hCD40L,CD40LG (copy)
CD40LG,hsa:959,CD40 ligand,CD40LG (copy)
CD40,hsa:958,Bp50,CD40 (copy)
CD40,hsa:958,CDW40,CD40 (copy)
CD40,hsa:958,TNFRSF5,CD40 (copy)
CD40,hsa:958,p50,CD40 (copy)
CD40,hsa:958,CD40 molecule,CD40 (copy)
TNFSF9,hsa:8744,4-1BB-L,TNFSF9 (copy)
TNFSF9,hsa:8744,CD137L,TNFSF9 (copy)
TNFSF9,hsa:8744,TNLG5A,TNFSF9 (copy)
TNFSF9,hsa:8744,TNF superfamily member 9,TNFSF9 (copy)
TNFRSF9,hsa:3604,4-1BB,TNFRSF9 (copy)
TNFRSF9,hsa:3604,CD137,TNFRSF9 (copy)
TNFRSF9,hsa:3604,CDw137,TNFRSF9 (copy)
TNFRSF9,hsa:3604,ILA,TNFRSF9 (copy)
TNFRSF9,hsa:3604,TNF receptor superfamily member 9,TNFRSF9 (copy)
TNFSF4,hsa:7292,CD134L,TNFSF4 (copy)
TNFSF4,hsa:7292,CD252,TNFSF4 (copy)
TNFSF4,hsa:7292,GP34,TNFSF4 (copy)
TNFSF4,hsa:7292,OX-40L,TNFSF4 (copy)
TNFSF4,hsa:7292,OX4OL,TNFSF4 (copy)
TNFSF4,hsa:7292,TNLG2B,TNFSF4 (copy)
TNFSF4,hsa:7292,TXGP1,TNFSF4 (copy)
TNFSF4,hsa:7292,TNF superfamily member 4,TNFSF4 (copy)
TNFRSF4,hsa:7293,ACT35,TNFRSF4 (copy)
TNFRSF4,hsa:7293,CD134,TNFRSF4 (copy)
TNFRSF4,hsa:7293,IMD16,TNFRSF4 (copy)
TNFRSF4,hsa:7293,OX40,TNFRSF4 (copy)
TNFRSF4,hsa:7293,TXGP1L,TNFRSF4 (copy)
TNFRSF4,hsa:7293,TNF receptor superfamily member 4,TNFRSF4 (copy)
TNFSF18,hsa:8995,AITRL,TNFSF18 (copy)
TNFSF18,hsa:8995,GITRL,TNFSF18 (copy)
TNFSF18,hsa:8995,TL6,TNFSF18 (copy)
TNFSF18,hsa:8995,TNLG2A,TNFSF18 (copy)
TNFSF18,hsa:8995,hGITRL,TNFSF18 (copy)
TNFSF18,hsa:8995,TNF superfamily member 18,TNFSF18 (copy)
TNFRSF18,hsa:8784,AITR,TNFRSF18 (copy)
TNFRSF18,hsa:8784,CD357,TNFRSF18 (copy)
TNFRSF18,hsa:8784,ENERGEN,TNFRSF18 (copy)
TNFRSF18,hsa:8784,GITR,TNFRSF18 (copy)
TNFRSF18,hsa:8784,GITR-D,TNFRSF18 (copy)
TNFRSF18,hsa:8784,TNF receptor superfamily member 18,TNFRSF18 (copy)
TNFSF13,hsa:8741,APRIL,TNFSF13 (copy)
TNFSF13,hsa:8741,CD256,TNFSF13 (copy)
TNFSF13,hsa:8741,TALL-2,TNFSF13 (copy)
TNFSF13,hsa:8741,TALL2,TNFSF13 (copy)
TNFSF13,hsa:8741,TNLG7B,TNFSF13 (copy)
TNFSF13,hsa:8741,TRDL-1,TNFSF13 (copy)
TNFSF13,hsa:8741,UNQ383/PRO715,TNFSF13 (copy)
TNFSF13,hsa:8741,ZTNF2,TNFSF13 (copy)
TNFSF13,hsa:8741,TNF superfamily member 13,TNFSF13 (copy)
TNFRSF17,hsa:608,BCM,TNFRSF17 (copy)
TNFRSF17,hsa:608,BCMA,TNFRSF17 (copy)
TNFRSF17,hsa:608,CD269,TNFRSF17 (copy)
TNFRSF17,hsa:608,TNFRSF13A,TNFRSF17 (copy)
TNFRSF17,hsa:608,TNF receptor superfamily member 17,TNFRSF17 (copy)
TNFSF13B,hsa:10673,BAFF,TNFSF13B (copy)
TNFSF13B,hsa:10673,BLYS,TNFSF13B (copy)
TNFSF13B,hsa:10673,CD257,TNFSF13B (copy)
TNFSF13B,hsa:10673,DTL,TNFSF13B (copy)
TNFSF13B,hsa:10673,TALL-1,TNFSF13B (copy)
TNFSF13B,hsa:10673,TALL1,TNFSF13B (copy)
TNFSF13B,hsa:10673,THANK,TNFSF13B (copy)
TNFSF13B,hsa:10673,TNFSF20,TNFSF13B (copy)
TNFSF13B,hsa:10673,TNLG7A,TNFSF13B (copy)
